Filename,Paths
mpcmdrun.exe,C:\Program Files (x86)\Windows Defender\MpCmdRun.exe
mpcmdrun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23110.3-0\X86\MpCmdRun.exe
mpcmdrun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2008.4-0\MpCmdRun.exe
mpcmdrun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2008.7-0\MpCmdRun.exe
mpcmdrun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2008.9-0\MpCmdRun.exe
mpcmdrun.exe,C:\Program Files\Windows Defender\MpCmdRun.exe
mpcmdrun.exe,C:\Program Files (x86)\Windows Defender\MpCmdRun.exe
mpcmdrun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23110.3-0\X86\MpCmdRun.exe
mpcmdrun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2008.4-0\MpCmdRun.exe
mpcmdrun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2008.7-0\MpCmdRun.exe
mpcmdrun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2008.9-0\MpCmdRun.exe
mpcmdrun.exe,C:\Program Files\Windows Defender\MpCmdRun.exe
mpcmdrun.exe,C:\Program Files (x86)\Windows Defender\MpCmdRun.exe
mpcmdrun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23110.3-0\X86\MpCmdRun.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework\v3.5\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework64\v3.5\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\Msbuild.exe
msbuild.exe,C:\Program Files (x86)\MSBuild\14.0\bin\MSBuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework\v3.5\Msbuild.exe
